LOCAL,TEMP
190604033350,20.211
190604033400,20.211
190604033410,20.211
190604033428,20.713
190604033437,20.713
190604033448,20.713
190604033500,21.013
190604033510,21.013
190604033521,21.013
190604033530,21.013
190604033543,22.313
190604033553,22.313
190604033603,22.313
190604033613,22.313
190604033629,22.817
190604033639,22.817
190604033649,22.817
190604033700,23.817
190604033710,23.817
190604033720,23.817
190604033735,24.114
190604033745,24.114
190604033755,24.114
190604033805,24.114
190604033815,24.114
190604033833,26.417
190604033843,26.417
190604033853,26.417
190604033903,26.417
190604033913,26.417
190604033923,26.417
190604033942,28.127
190604033952,28.127
190604034002,28.127
190604034012,28.127
190604034029,28.327
190604034039,28.327
190604034049,28.327
190604034100,28.327
190604034109,28.327
190604034119,28.327
190604034129,28.327
190604034139,28.327
190604034149,28.327
190604034206,29.727
190604034216,29.727
190604034226,29.727
190604034245,31.729
190604034255,31.729
190604034305,31.729
